model;avg_blanc_score;avg_std
lda_ns2_nt2_bw0.0_pw0.0;0.1782080781468218;0.07137197244613751
lda_ns2_nt2_bw0.0_pw0.6;0.1682908221274971;0.06160446777108726
lda_ns2_nt2_bw0.6_pw0.0;0.16867352117720424;0.07011318686615646
lda_ns2_nt2_bw0.6_pw0.6;0.17305873455442725;0.06525912070338455
lda_ns2_nt4_bw0.0_pw0.0;0.18253364029215755;0.07359680857192755
lda_ns2_nt4_bw0.0_pw0.6;0.16836024797061286;0.043690960416253456
lda_ns2_nt4_bw0.6_pw0.0;0.18174246301370653;0.05678389720052709
lda_ns2_nt4_bw0.6_pw0.6;0.16200186738306088;0.051701824467039116
lda_ns5_nt2_bw0.0_pw0.0;0.32491464875112047;0.11714660058445187
lda_ns5_nt2_bw0.0_pw0.6;0.3090313842603887;0.09431100025114991
lda_ns5_nt2_bw0.6_pw0.0;0.3180331470200772;0.09913899453089323
lda_ns5_nt2_bw0.6_pw0.6;0.3046191769871991;0.08794858726829417
lda_ns5_nt4_bw0.0_pw0.0;0.3280568731185418;0.09753380982629427
lda_ns5_nt4_bw0.0_pw0.6;0.3159774088954541;0.08769638228733677
lda_ns5_nt4_bw0.6_pw0.0;0.3385349941988189;0.09403716878068104
lda_ns5_nt4_bw0.6_pw0.6;0.310567607604019;0.08178627373540252
pr_ns2_l0.4_bw0.0_pw0.0_pgNone_umTrue_modNone;0.1151049012828656;0.05096004856425733
pr_ns2_l0.4_bw0.0_pw0.0_pgNone_umTrue_modSentenceTransformer;0.146642859759835;0.03769668728419855
pr_ns2_l0.4_bw0.0_pw0.0_pgNone_umFalse_modNone;0.1151049012828656;0.05096004856425733
pr_ns2_l0.4_bw0.0_pw0.0_pgNone_umFalse_modSentenceTransformer;0.146642859759835;0.03769668728419855
pr_ns2_l0.4_bw0.0_pw0.0_pg10_umTrue_modNone;0.1151049012828656;0.05096004856425733
pr_ns2_l0.4_bw0.0_pw0.0_pg10_umTrue_modSentenceTransformer;0.146642859759835;0.03769668728419855
pr_ns2_l0.4_bw0.0_pw0.0_pg10_umFalse_modNone;0.1151049012828656;0.05096004856425733
pr_ns2_l0.4_bw0.0_pw0.0_pg10_umFalse_modSentenceTransformer;0.146642859759835;0.03769668728419855
pr_ns2_l0.4_bw0.0_pw0.6_pgNone_umTrue_modNone;0.13763176594592275;0.036576333956764726
pr_ns2_l0.4_bw0.0_pw0.6_pgNone_umTrue_modSentenceTransformer;0.14286726464305755;0.05349937565040804
pr_ns2_l0.4_bw0.0_pw0.6_pgNone_umFalse_modNone;0.13763176594592275;0.036576333956764726
pr_ns2_l0.4_bw0.0_pw0.6_pgNone_umFalse_modSentenceTransformer;0.14286726464305755;0.05349937565040804
pr_ns2_l0.4_bw0.0_pw0.6_pg10_umTrue_modNone;0.13763176594592275;0.036576333956764726
pr_ns2_l0.4_bw0.0_pw0.6_pg10_umTrue_modSentenceTransformer;0.14286726464305755;0.05349937565040804
pr_ns2_l0.4_bw0.0_pw0.6_pg10_umFalse_modNone;0.13763176594592275;0.036576333956764726
pr_ns2_l0.4_bw0.0_pw0.6_pg10_umFalse_modSentenceTransformer;0.14286726464305755;0.05349937565040804
pr_ns2_l0.4_bw0.6_pw0.0_pgNone_umTrue_modNone;0.12860697093414106;0.05480788311037131
pr_ns2_l0.4_bw0.6_pw0.0_pgNone_umTrue_modSentenceTransformer;0.15150911478996232;0.06265420887236091
pr_ns2_l0.4_bw0.6_pw0.0_pgNone_umFalse_modNone;0.12860697093414106;0.05480788311037131
pr_ns2_l0.4_bw0.6_pw0.0_pgNone_umFalse_modSentenceTransformer;0.15150911478996232;0.06265420887236091
pr_ns2_l0.4_bw0.6_pw0.0_pg10_umTrue_modNone;0.12860697093414106;0.05480788311037131
pr_ns2_l0.4_bw0.6_pw0.0_pg10_umTrue_modSentenceTransformer;0.15150911478996232;0.06265420887236091
pr_ns2_l0.4_bw0.6_pw0.0_pg10_umFalse_modNone;0.12860697093414106;0.05480788311037131
pr_ns2_l0.4_bw0.6_pw0.0_pg10_umFalse_modSentenceTransformer;0.15150911478996232;0.06265420887236091
pr_ns2_l0.4_bw0.6_pw0.6_pgNone_umTrue_modNone;0.139846996108645;0.040749287404603776
pr_ns2_l0.4_bw0.6_pw0.6_pgNone_umTrue_modSentenceTransformer;0.14340349110520992;0.05782230575443404
pr_ns2_l0.4_bw0.6_pw0.6_pgNone_umFalse_modNone;0.139846996108645;0.040749287404603776
pr_ns2_l0.4_bw0.6_pw0.6_pgNone_umFalse_modSentenceTransformer;0.14340349110520992;0.05782230575443404
pr_ns2_l0.4_bw0.6_pw0.6_pg10_umTrue_modNone;0.139846996108645;0.040749287404603776
pr_ns2_l0.4_bw0.6_pw0.6_pg10_umTrue_modSentenceTransformer;0.14340349110520992;0.05782230575443404
pr_ns2_l0.4_bw0.6_pw0.6_pg10_umFalse_modNone;0.139846996108645;0.040749287404603776
pr_ns2_l0.4_bw0.6_pw0.6_pg10_umFalse_modSentenceTransformer;0.14340349110520992;0.05782230575443404
pr_ns2_l0.8_bw0.0_pw0.0_pgNone_umTrue_modNone;0.12920081995170504;0.049537592908770196
pr_ns2_l0.8_bw0.0_pw0.0_pgNone_umTrue_modSentenceTransformer;0.16488185625316343;0.04711642368507154
pr_ns2_l0.8_bw0.0_pw0.0_pgNone_umFalse_modNone;0.12920081995170504;0.049537592908770196
pr_ns2_l0.8_bw0.0_pw0.0_pgNone_umFalse_modSentenceTransformer;0.16488185625316343;0.04711642368507154
pr_ns2_l0.8_bw0.0_pw0.0_pg10_umTrue_modNone;0.12920081995170504;0.049537592908770196
pr_ns2_l0.8_bw0.0_pw0.0_pg10_umTrue_modSentenceTransformer;0.16488185625316343;0.04711642368507154
pr_ns2_l0.8_bw0.0_pw0.0_pg10_umFalse_modNone;0.12920081995170504;0.049537592908770196
pr_ns2_l0.8_bw0.0_pw0.0_pg10_umFalse_modSentenceTransformer;0.16488185625316343;0.04711642368507154
pr_ns2_l0.8_bw0.0_pw0.6_pgNone_umTrue_modNone;0.13654039976698845;0.037986886371423556
pr_ns2_l0.8_bw0.0_pw0.6_pgNone_umTrue_modSentenceTransformer;0.16613225032436;0.05136888809633617
pr_ns2_l0.8_bw0.0_pw0.6_pgNone_umFalse_modNone;0.13654039976698845;0.037986886371423556
pr_ns2_l0.8_bw0.0_pw0.6_pgNone_umFalse_modSentenceTransformer;0.16613225032436;0.05136888809633617
pr_ns2_l0.8_bw0.0_pw0.6_pg10_umTrue_modNone;0.13654039976698845;0.037986886371423556
pr_ns2_l0.8_bw0.0_pw0.6_pg10_umTrue_modSentenceTransformer;0.16613225032436;0.05136888809633617
pr_ns2_l0.8_bw0.0_pw0.6_pg10_umFalse_modNone;0.13654039976698845;0.037986886371423556
pr_ns2_l0.8_bw0.0_pw0.6_pg10_umFalse_modSentenceTransformer;0.16613225032436;0.05136888809633617
pr_ns2_l0.8_bw0.6_pw0.0_pgNone_umTrue_modNone;0.13647629140676132;0.048365168665312715
pr_ns2_l0.8_bw0.6_pw0.0_pgNone_umTrue_modSentenceTransformer;0.16657480956750856;0.03940166401577761
pr_ns2_l0.8_bw0.6_pw0.0_pgNone_umFalse_modNone;0.13647629140676132;0.048365168665312715
pr_ns2_l0.8_bw0.6_pw0.0_pgNone_umFalse_modSentenceTransformer;0.16657480956750856;0.03940166401577761
pr_ns2_l0.8_bw0.6_pw0.0_pg10_umTrue_modNone;0.13647629140676132;0.048365168665312715
pr_ns2_l0.8_bw0.6_pw0.0_pg10_umTrue_modSentenceTransformer;0.16657480956750856;0.03940166401577761
pr_ns2_l0.8_bw0.6_pw0.0_pg10_umFalse_modNone;0.13647629140676132;0.048365168665312715
pr_ns2_l0.8_bw0.6_pw0.0_pg10_umFalse_modSentenceTransformer;0.16657480956750856;0.03940166401577761
pr_ns2_l0.8_bw0.6_pw0.6_pgNone_umTrue_modNone;0.13626074850119746;0.035096435196776236
pr_ns2_l0.8_bw0.6_pw0.6_pgNone_umTrue_modSentenceTransformer;0.16375243119061414;0.04939134989093859
pr_ns2_l0.8_bw0.6_pw0.6_pgNone_umFalse_modNone;0.13626074850119746;0.035096435196776236
pr_ns2_l0.8_bw0.6_pw0.6_pgNone_umFalse_modSentenceTransformer;0.16375243119061414;0.04939134989093859
pr_ns2_l0.8_bw0.6_pw0.6_pg10_umTrue_modNone;0.13626074850119746;0.035096435196776236
pr_ns2_l0.8_bw0.6_pw0.6_pg10_umTrue_modSentenceTransformer;0.16375243119061414;0.04939134989093859
pr_ns2_l0.8_bw0.6_pw0.6_pg10_umFalse_modNone;0.13626074850119746;0.035096435196776236
pr_ns2_l0.8_bw0.6_pw0.6_pg10_umFalse_modSentenceTransformer;0.16375243119061414;0.04939134989093859
pr_ns5_l0.4_bw0.0_pw0.0_pgNone_umTrue_modNone;0.24692765051196047;0.06753020827964276
pr_ns5_l0.4_bw0.0_pw0.0_pgNone_umTrue_modSentenceTransformer;0.26706144111866764;0.06306525099143566
pr_ns5_l0.4_bw0.0_pw0.0_pgNone_umFalse_modNone;0.24692765051196047;0.06753020827964276
pr_ns5_l0.4_bw0.0_pw0.0_pgNone_umFalse_modSentenceTransformer;0.26706144111866764;0.06306525099143566
pr_ns5_l0.4_bw0.0_pw0.0_pg10_umTrue_modNone;0.24692765051196047;0.06753020827964276
pr_ns5_l0.4_bw0.0_pw0.0_pg10_umTrue_modSentenceTransformer;0.26706144111866764;0.06306525099143566
pr_ns5_l0.4_bw0.0_pw0.0_pg10_umFalse_modNone;0.24692765051196047;0.06753020827964276
pr_ns5_l0.4_bw0.0_pw0.0_pg10_umFalse_modSentenceTransformer;0.26706144111866764;0.06306525099143566
pr_ns5_l0.4_bw0.0_pw0.6_pgNone_umTrue_modNone;0.2812519758869129;0.07283171943398577
pr_ns5_l0.4_bw0.0_pw0.6_pgNone_umTrue_modSentenceTransformer;0.2616217310439382;0.07208164065817385
pr_ns5_l0.4_bw0.0_pw0.6_pgNone_umFalse_modNone;0.2812519758869129;0.07283171943398577
pr_ns5_l0.4_bw0.0_pw0.6_pgNone_umFalse_modSentenceTransformer;0.2616217310439382;0.07208164065817385
pr_ns5_l0.4_bw0.0_pw0.6_pg10_umTrue_modNone;0.2812519758869129;0.07283171943398577
pr_ns5_l0.4_bw0.0_pw0.6_pg10_umTrue_modSentenceTransformer;0.2616217310439382;0.07208164065817385
pr_ns5_l0.4_bw0.0_pw0.6_pg10_umFalse_modNone;0.2812519758869129;0.07283171943398577
pr_ns5_l0.4_bw0.0_pw0.6_pg10_umFalse_modSentenceTransformer;0.2616217310439382;0.07208164065817385
pr_ns5_l0.4_bw0.6_pw0.0_pgNone_umTrue_modNone;0.2496057262109968;0.08537324776701577
pr_ns5_l0.4_bw0.6_pw0.0_pgNone_umTrue_modSentenceTransformer;0.26350301342140775;0.08595311488145345
pr_ns5_l0.4_bw0.6_pw0.0_pgNone_umFalse_modNone;0.2496057262109968;0.08537324776701577
pr_ns5_l0.4_bw0.6_pw0.0_pgNone_umFalse_modSentenceTransformer;0.26350301342140775;0.08595311488145345
pr_ns5_l0.4_bw0.6_pw0.0_pg10_umTrue_modNone;0.2496057262109968;0.08537324776701577
pr_ns5_l0.4_bw0.6_pw0.0_pg10_umTrue_modSentenceTransformer;0.26350301342140775;0.08595311488145345
pr_ns5_l0.4_bw0.6_pw0.0_pg10_umFalse_modNone;0.2496057262109968;0.08537324776701577
pr_ns5_l0.4_bw0.6_pw0.0_pg10_umFalse_modSentenceTransformer;0.26350301342140775;0.08595311488145345
pr_ns5_l0.4_bw0.6_pw0.6_pgNone_umTrue_modNone;0.27491902976293553;0.07910250575982354
pr_ns5_l0.4_bw0.6_pw0.6_pgNone_umTrue_modSentenceTransformer;0.2503652763538299;0.0792077761743516
pr_ns5_l0.4_bw0.6_pw0.6_pgNone_umFalse_modNone;0.27491902976293553;0.07910250575982354
pr_ns5_l0.4_bw0.6_pw0.6_pgNone_umFalse_modSentenceTransformer;0.2503652763538299;0.0792077761743516
pr_ns5_l0.4_bw0.6_pw0.6_pg10_umTrue_modNone;0.27491902976293553;0.07910250575982354
pr_ns5_l0.4_bw0.6_pw0.6_pg10_umTrue_modSentenceTransformer;0.2503652763538299;0.0792077761743516
pr_ns5_l0.4_bw0.6_pw0.6_pg10_umFalse_modNone;0.27491902976293553;0.07910250575982354
pr_ns5_l0.4_bw0.6_pw0.6_pg10_umFalse_modSentenceTransformer;0.2503652763538299;0.0792077761743516
pr_ns5_l0.8_bw0.0_pw0.0_pgNone_umTrue_modNone;0.24005969328040522;0.08783410715216346
pr_ns5_l0.8_bw0.0_pw0.0_pgNone_umTrue_modSentenceTransformer;0.28688305234591466;0.07340092854480879
pr_ns5_l0.8_bw0.0_pw0.0_pgNone_umFalse_modNone;0.24005969328040522;0.08783410715216346
pr_ns5_l0.8_bw0.0_pw0.0_pgNone_umFalse_modSentenceTransformer;0.28688305234591466;0.07340092854480879
pr_ns5_l0.8_bw0.0_pw0.0_pg10_umTrue_modNone;0.24005969328040522;0.08783410715216346
pr_ns5_l0.8_bw0.0_pw0.0_pg10_umTrue_modSentenceTransformer;0.28688305234591466;0.07340092854480879
pr_ns5_l0.8_bw0.0_pw0.0_pg10_umFalse_modNone;0.24005969328040522;0.08783410715216346
pr_ns5_l0.8_bw0.0_pw0.0_pg10_umFalse_modSentenceTransformer;0.28688305234591466;0.07340092854480879
pr_ns5_l0.8_bw0.0_pw0.6_pgNone_umTrue_modNone;0.2822957499989279;0.0705317182043163
pr_ns5_l0.8_bw0.0_pw0.6_pgNone_umTrue_modSentenceTransformer;0.2960155528810835;0.08501209991664622
pr_ns5_l0.8_bw0.0_pw0.6_pgNone_umFalse_modNone;0.2822957499989279;0.0705317182043163
pr_ns5_l0.8_bw0.0_pw0.6_pgNone_umFalse_modSentenceTransformer;0.2960155528810835;0.08501209991664622
pr_ns5_l0.8_bw0.0_pw0.6_pg10_umTrue_modNone;0.2822957499989279;0.0705317182043163
pr_ns5_l0.8_bw0.0_pw0.6_pg10_umTrue_modSentenceTransformer;0.2960155528810835;0.08501209991664622
pr_ns5_l0.8_bw0.0_pw0.6_pg10_umFalse_modNone;0.2822957499989279;0.0705317182043163
pr_ns5_l0.8_bw0.0_pw0.6_pg10_umFalse_modSentenceTransformer;0.2960155528810835;0.08501209991664622
pr_ns5_l0.8_bw0.6_pw0.0_pgNone_umTrue_modNone;0.2682179498794527;0.08131185848432673
pr_ns5_l0.8_bw0.6_pw0.0_pgNone_umTrue_modSentenceTransformer;0.3049461313422609;0.07579635559403558
pr_ns5_l0.8_bw0.6_pw0.0_pgNone_umFalse_modNone;0.2682179498794527;0.08131185848432673
pr_ns5_l0.8_bw0.6_pw0.0_pgNone_umFalse_modSentenceTransformer;0.3049461313422609;0.07579635559403558
pr_ns5_l0.8_bw0.6_pw0.0_pg10_umTrue_modNone;0.2682179498794527;0.08131185848432673
pr_ns5_l0.8_bw0.6_pw0.0_pg10_umTrue_modSentenceTransformer;0.3049461313422609;0.07579635559403558
pr_ns5_l0.8_bw0.6_pw0.0_pg10_umFalse_modNone;0.2682179498794527;0.08131185848432673
pr_ns5_l0.8_bw0.6_pw0.0_pg10_umFalse_modSentenceTransformer;0.3049461313422609;0.07579635559403558
pr_ns5_l0.8_bw0.6_pw0.6_pgNone_umTrue_modNone;0.3029826154072771;0.07408146898662787
pr_ns5_l0.8_bw0.6_pw0.6_pgNone_umTrue_modSentenceTransformer;0.3013328127995059;0.0751749671563097
pr_ns5_l0.8_bw0.6_pw0.6_pgNone_umFalse_modNone;0.3029826154072771;0.07408146898662787
pr_ns5_l0.8_bw0.6_pw0.6_pgNone_umFalse_modSentenceTransformer;0.3013328127995059;0.0751749671563097
pr_ns5_l0.8_bw0.6_pw0.6_pg10_umTrue_modNone;0.3029826154072771;0.07408146898662787
pr_ns5_l0.8_bw0.6_pw0.6_pg10_umTrue_modSentenceTransformer;0.3013328127995059;0.0751749671563097
pr_ns5_l0.8_bw0.6_pw0.6_pg10_umFalse_modNone;0.3029826154072771;0.07408146898662787
pr_ns5_l0.8_bw0.6_pw0.6_pg10_umFalse_modSentenceTransformer;0.3013328127995059;0.0751749671563097
